city_name,state,is_saturated,difference
Crosby,Minnesota,true,-1050
Cross Hill,South Carolina,true,-504
Crosslake,Minnesota,true,-1262
Crossville,Tennessee,true,-479
Crozet,Virginia,true,-1443
Crumpler,North Carolina,true,-757
Crystal Beach,Texas,true,-1419
Crystal River,Florida,true,-405
Cudjoe Key,Florida,false,913
Cullman,Alabama,false,119
Cullowhee,North Carolina,true,-1577
Culpeper,Virginia,true,-421
Culver,Indiana,false,202
Culver City,California,true,-1028
Cumberland,Maryland,true,-805
Cumming,Georgia,true,-1358
Cupertino,California,true,-1212
Custer,South Dakota,true,-710
Cutchogue,New York,true,-2808
Cutler Bay,Florida,false,16
Cypress,Texas,true,-592
Dade City,Florida,true,-342
Dadeville,Alabama,true,-598
Dahlonega,Georgia,true,-1052
